dataset,method,unit,eps,gamma,n_clients,seed,p,lambda,clip_C,final_avg_acc,bwt,avg_incremental_acc
cifar100,m9_contractive,U1,0.5,1.0,10,0,64,100.0,46.28673336744744,0.36190000000000005,-0.2653333333333333,0.6216191666666667
cifar100,m9_contractive,U1,0.5,1.0,10,1,64,100.0,46.28673336744744,0.3754,-0.2743333333333333,0.6148634920634921
cifar100,m9_contractive,U1,0.5,1.0,10,2,64,100.0,46.28673336744744,0.3594,-0.26,0.5906021825396826
cifar100,m9_contractive,U1,0.5,0.9,10,0,64,100.0,46.28673336744744,0.3624,-0.43899999999999995,0.6237312698412698
cifar100,m9_contractive,U1,0.5,0.9,10,1,64,100.0,46.28673336744744,0.37229999999999996,-0.438,0.611874880952381
cifar100,m9_contractive,U1,0.5,0.9,10,2,64,100.0,46.28673336744744,0.3615,-0.4314444444444445,0.5932398412698413
cifar100,m9_contractive,U1,0.5,0.7,10,0,64,100.0,46.28673336744744,0.23959999999999998,-0.7037777777777778,0.5192417857142858
cifar100,m9_contractive,U1,0.5,0.7,10,1,64,100.0,46.28673336744744,0.2475,-0.6953333333333334,0.5054632142857142
cifar100,m9_contractive,U1,0.5,0.7,10,2,64,100.0,46.28673336744744,0.2447,-0.7071111111111111,0.4940601984126983
cifar100,m9_contractive,U1,1,1.0,10,0,64,100.0,46.28673336744744,0.6023000000000001,-0.157,0.7498313492063492
cifar100,m9_contractive,U1,1,1.0,10,1,64,100.0,46.28673336744744,0.6046000000000001,-0.16933333333333334,0.7509746825396826
cifar100,m9_contractive,U1,1,1.0,10,2,64,100.0,46.28673336744744,0.5811,-0.18722222222222218,0.7233859523809524
cifar100,m9_contractive,U1,1,0.9,10,0,64,100.0,46.28673336744744,0.5275,-0.36377777777777776,0.7258402777777777
cifar100,m9_contractive,U1,1,0.9,10,1,64,100.0,46.28673336744744,0.5164000000000001,-0.38111111111111107,0.7130702380952381
cifar100,m9_contractive,U1,1,0.9,10,2,64,100.0,46.28673336744744,0.5347999999999999,-0.3668888888888889,0.6989141666666667
cifar100,m9_contractive,U1,1,0.7,10,0,64,100.0,46.28673336744744,0.29900000000000004,-0.6816666666666666,0.5716114285714287
cifar100,m9_contractive,U1,1,0.7,10,1,64,100.0,46.28673336744744,0.2886,-0.6926666666666665,0.5539053968253967
cifar100,m9_contractive,U1,1,0.7,10,2,64,100.0,46.28673336744744,0.2888,-0.698111111111111,0.5380268253968254
cifar100,m9_contractive,U1,2,1.0,10,0,64,100.0,46.28673336744744,0.687,-0.1191111111111111,0.7973694047619048
cifar100,m9_contractive,U1,2,1.0,10,1,64,100.0,46.28673336744744,0.6928,-0.11955555555555554,0.7997025000000001
cifar100,m9_contractive,U1,2,1.0,10,2,64,100.0,46.28673336744744,0.6894,-0.13555555555555554,0.7764480158730159
cifar100,m9_contractive,U1,2,0.9,10,0,64,100.0,46.28673336744744,0.5638,-0.35511111111111116,0.7531488095238095
cifar100,m9_contractive,U1,2,0.9,10,1,64,100.0,46.28673336744744,0.564,-0.35455555555555557,0.7485760714285714
cifar100,m9_contractive,U1,2,0.9,10,2,64,100.0,46.28673336744744,0.5824999999999999,-0.3406666666666667,0.7301757539682538
